,first,second,third,allCorrect
0,True,True,False,False
1,True,True,False,False
2,False,True,False,False
3,False,True,False,False
4,True,False,False,False
5,True,True,True,True
6,True,True,True,True
7,True,True,False,False
8,True,True,True,True
9,False,True,True,False
10,False,False,False,False
11,True,True,False,False
12,True,True,True,True
13,True,True,False,False
14,True,False,False,False
15,False,False,False,False
16,False,True,False,False
17,False,True,False,False
18,True,True,False,False
19,True,True,False,False
20,False,True,True,False
21,True,True,True,True
22,True,True,True,True
23,True,True,False,False
24,True,True,False,False
25,True,True,False,False
26,False,True,False,False
27,False,False,False,False
28,True,True,False,False
29,True,True,False,False
30,True,True,True,True
31,True,False,False,False
32,False,True,False,False
33,False,True,True,False
34,False,False,False,False
35,True,True,True,True
36,False,True,True,False
37,True,True,False,False
38,True,False,False,False
39,True,True,True,True
40,True,True,True,True
41,True,True,False,False
42,True,True,True,True
43,True,True,False,False
44,False,True,False,False
45,False,True,False,False
46,True,True,True,True
47,True,False,True,False
48,False,True,False,False
49,True,True,True,True
50,True,True,False,False
51,True,True,True,True
52,True,True,False,False
53,False,True,False,False
54,True,True,True,True
55,True,False,True,False
56,False,True,True,False
57,False,True,False,False
58,True,True,False,False
59,True,True,False,False
60,False,True,True,False
61,False,True,False,False
62,False,False,False,False
63,False,True,False,False
64,False,True,False,False
65,True,True,True,True
66,False,True,False,False
67,True,True,True,True
68,True,True,True,True
69,False,True,True,False
70,True,True,False,False
71,False,True,False,False
72,False,True,False,False
73,False,True,True,False
74,False,True,False,False
75,False,True,True,False
76,True,True,True,True
77,False,True,False,False
78,False,True,False,False
79,True,True,False,False
80,True,True,True,True
81,False,True,False,False
82,True,False,False,False
83,True,True,False,False
84,True,True,False,False
85,True,True,False,False
86,False,True,False,False
87,True,True,True,True
88,False,False,False,False
89,True,True,True,True
90,True,True,False,False
91,True,True,False,False
92,False,False,False,False
93,False,True,True,False
94,False,False,True,False
95,True,True,False,False
96,True,True,False,False
97,False,True,False,False
98,False,True,True,False
99,False,True,False,False
100,False,True,False,False
101,True,True,False,False
102,True,True,True,True
103,False,True,False,False
104,True,True,True,True
105,True,True,True,True
106,False,True,False,False
107,True,True,False,False
108,True,True,False,False
109,True,True,True,True
110,True,False,False,False
111,True,True,False,False
112,False,True,False,False
113,True,True,True,True
114,True,True,False,False
115,False,True,False,False
116,True,True,True,True
117,False,False,False,False
118,True,True,True,True
119,True,True,False,False
120,False,True,False,False
121,True,True,False,False
122,True,True,True,True
123,True,True,True,True
124,True,False,False,False
125,False,True,False,False
126,False,True,False,False
127,False,True,True,False
128,True,True,False,False
129,True,True,False,False
130,False,True,True,False
131,True,True,True,True
132,True,True,False,False
133,True,True,False,False
134,False,True,True,False
135,True,True,False,False
136,True,True,True,True
137,True,True,False,False
138,True,True,True,True
139,True,False,True,False
140,True,True,True,True
141,True,True,True,True
142,True,True,True,True
143,True,True,False,False
144,True,True,True,True
145,True,False,True,False
146,False,True,False,False
147,False,True,False,False
148,False,True,False,False
149,True,True,False,False
150,True,True,False,False
151,True,True,False,False
152,True,True,False,False
153,False,True,False,False
154,False,True,True,False
155,False,True,True,False
156,True,True,True,True
157,True,True,False,False
158,False,False,False,False
159,False,True,True,False
160,True,True,True,True
161,True,True,True,True
162,True,True,True,True
163,True,False,False,False
164,True,True,False,False
165,False,True,False,False
166,False,True,True,False
167,False,True,True,False
168,True,True,True,True
169,True,True,False,False
170,True,False,True,False
171,False,True,False,False
172,False,True,True,False
173,True,True,False,False
174,False,True,True,False
175,False,True,False,False
176,True,False,False,False
177,True,True,False,False
178,False,True,False,False
179,False,True,True,False
180,False,True,True,False
181,True,True,True,True
182,False,True,True,False
183,True,True,False,False
184,False,True,False,False
185,False,True,False,False
186,True,True,False,False
187,True,True,False,False
188,True,True,False,False
189,True,True,False,False
190,True,True,True,True
191,True,True,False,False
192,False,True,False,False
193,True,True,True,True
194,True,True,False,False
195,True,True,False,False
196,False,False,True,False
197,True,True,False,False
198,True,True,True,True
199,True,True,True,True
200,False,True,True,False
201,True,False,False,False
202,False,False,False,False
203,False,True,True,False
204,True,True,False,False
205,True,True,False,False
206,False,True,True,False
207,False,True,False,False
208,True,True,False,False
209,True,True,True,True
210,True,True,False,False
211,False,True,False,False
212,True,True,False,False
213,False,False,False,False
214,False,True,False,False
215,True,False,False,False
216,False,True,False,False
217,True,True,False,False
218,True,True,False,False
219,False,True,True,False
220,True,True,False,False
221,True,True,True,True
222,True,True,False,False
223,False,True,False,False
224,True,True,True,True
225,True,True,False,False
226,True,False,False,False
227,False,True,True,False
228,False,True,False,False
229,True,True,True,True
230,False,True,False,False
231,False,True,False,False
232,True,True,False,False
233,False,False,False,False
234,True,True,True,True
235,False,True,False,False
236,True,True,True,True
237,False,True,True,False
238,True,True,False,False
239,False,True,True,False
240,False,False,False,False
241,True,False,True,False
242,True,True,False,False
243,False,True,False,False
244,True,True,False,False
245,True,False,True,False
246,False,True,True,False
247,False,True,True,False
248,True,True,False,False
249,False,True,False,False
250,False,True,True,False
251,False,True,True,False
252,False,True,False,False
253,False,True,False,False
254,True,True,False,False
255,True,True,False,False
256,True,True,False,False
257,True,True,False,False
258,False,True,True,False
259,True,True,True,True
260,True,True,False,False
261,False,True,False,False
262,False,True,False,False
263,False,True,False,False
264,False,True,True,False
265,False,True,False,False
266,True,True,False,False
267,True,True,False,False
268,True,True,False,False
269,True,True,False,False
270,True,True,False,False
271,False,True,True,False
272,False,False,False,False
273,False,False,False,False
274,True,True,True,True
275,True,True,True,True
276,True,True,False,False
277,True,True,False,False
278,True,True,False,False
279,True,True,True,True
280,False,True,True,False
281,False,True,False,False
282,True,False,True,False
283,True,True,False,False
284,True,True,False,False
285,False,True,True,False
286,True,True,False,False
287,False,True,False,False
288,True,True,True,True
289,True,True,False,False
290,True,True,False,False
291,True,True,False,False
292,True,False,False,False
293,True,True,True,True
294,False,True,False,False
295,False,True,False,False
296,False,True,False,False
297,False,True,True,False
298,True,True,False,False
299,False,True,True,False
300,False,True,True,False
301,True,True,True,True
302,False,True,True,False
303,False,True,True,False
304,True,True,False,False
305,False,True,False,False
306,True,True,True,True
307,False,True,True,False
308,True,True,False,False
309,False,True,True,False
310,True,True,False,False
311,True,True,True,True
312,False,True,False,False
313,True,True,False,False
314,False,False,True,False
315,True,True,True,True
316,False,True,True,False
317,True,True,True,True
318,False,True,False,False
319,True,True,False,False
320,True,False,True,False
321,True,True,False,False
322,False,True,True,False
323,False,True,False,False
324,False,True,False,False
325,False,True,False,False
326,False,True,False,False
327,True,True,True,True
328,True,True,True,True
329,True,True,True,True
330,True,True,True,True
331,True,True,False,False
332,True,True,False,False
333,False,False,True,False
334,False,True,False,False
335,True,True,False,False
336,False,True,False,False
337,True,True,False,False
338,False,True,True,False
339,False,True,True,False
340,True,True,True,True
341,True,True,False,False
342,True,True,True,True
343,False,True,False,False
344,False,True,True,False
345,True,False,False,False
346,False,False,True,False
347,True,True,False,False
348,False,True,True,False
349,True,True,True,True
350,True,True,False,False
351,False,True,True,False
352,False,True,False,False
353,True,True,False,False
354,False,True,False,False
355,True,True,True,True
356,False,True,False,False
357,False,True,False,False
358,True,True,False,False
359,False,True,False,False
360,False,True,True,False
361,True,True,True,True
362,False,True,True,False
363,True,True,False,False
364,True,True,False,False
365,True,True,True,True
366,False,True,False,False
367,True,True,True,True
368,False,True,True,False
369,True,True,False,False
370,False,True,False,False
371,False,True,False,False
372,False,True,False,False
373,False,True,False,False
374,True,True,True,True
375,False,True,False,False
376,True,True,True,True
377,True,True,False,False
378,False,True,True,False
379,False,True,False,False
380,False,True,True,False
381,False,True,True,False
382,True,True,True,True
383,False,True,False,False
384,True,True,False,False
385,True,True,True,True
386,False,True,True,False
387,True,True,True,True
388,False,True,True,False
389,False,True,True,False
390,True,True,True,True
391,False,False,True,False
392,True,True,True,True
393,False,True,True,False
394,True,True,True,True
395,True,True,False,False
396,True,True,True,True
397,False,False,False,False
398,True,True,False,False
399,False,True,False,False
400,False,True,False,False
401,False,True,True,False
402,True,True,True,True
403,True,False,True,False
404,True,True,False,False
405,True,True,True,True
406,True,True,False,False
407,True,True,False,False
408,True,True,False,False
409,True,True,False,False
410,False,True,False,False
411,True,True,True,True
412,False,True,False,False
413,True,True,True,True
414,True,True,False,False
415,False,True,True,False
416,True,True,False,False
417,False,True,True,False
418,True,True,True,True
419,True,True,True,True
420,True,True,True,True
421,True,True,False,False
422,False,True,False,False
423,True,True,True,True
424,False,False,False,False
425,True,True,True,True
426,False,True,False,False
427,True,True,True,True
428,True,True,True,True
429,True,False,False,False
430,True,True,False,False
431,False,True,False,False
432,True,True,False,False
433,False,True,False,False
434,True,True,True,True
435,False,True,False,False
436,False,True,True,False
437,False,True,True,False
438,True,True,False,False
439,True,True,False,False
440,True,True,True,True
441,True,True,True,True
442,False,False,True,False
443,True,True,False,False
444,True,True,True,True
445,False,True,False,False
446,True,True,False,False
447,True,True,True,True
448,True,True,True,True
449,False,False,False,False
450,False,True,True,False
451,True,True,True,True
452,False,True,True,False
453,True,True,False,False
454,True,True,True,True
455,False,False,False,False
456,False,True,True,False
457,False,False,True,False
458,False,True,True,False
459,True,True,False,False
460,False,True,True,False
461,False,True,False,False
462,False,True,True,False
463,False,True,False,False
464,True,True,False,False
465,True,True,False,False
466,True,True,False,False
467,True,True,False,False
468,False,True,False,False
469,True,True,False,False
470,True,True,True,True
471,True,True,False,False
472,True,True,True,True
473,False,True,True,False
474,False,True,False,False
475,True,True,False,False
476,False,True,True,False
477,True,False,True,False
478,False,True,False,False
479,True,True,False,False
480,False,True,False,False
481,True,True,False,False
482,True,True,False,False
483,False,True,True,False
484,True,True,False,False
485,True,True,False,False
486,True,True,True,True
487,True,True,False,False
488,False,True,False,False
489,True,True,True,True
490,False,True,False,False
491,True,True,False,False
492,False,False,False,False
493,False,True,True,False
494,True,True,True,True
495,False,True,True,False
496,False,True,True,False
497,False,False,True,False
498,True,True,False,False
499,False,True,False,False
500,False,True,False,False
501,False,True,True,False
502,True,False,False,False
503,True,True,False,False
504,True,True,False,False
505,True,True,False,False
506,False,True,True,False
507,False,True,False,False
508,True,True,True,True
509,True,True,True,True
510,True,True,True,True
511,False,True,True,False
512,True,True,False,False
513,True,True,True,True
514,True,True,False,False
515,False,False,True,False
516,True,True,True,True
517,False,True,True,False
518,True,True,False,False
519,False,True,True,False
520,False,False,False,False
521,False,True,False,False
522,True,True,False,False
523,False,True,False,False
524,True,True,True,True
525,True,True,False,False
526,True,True,False,False
527,True,False,True,False
528,True,True,True,True
529,False,True,True,False
530,True,True,True,True
531,True,True,True,True
532,True,True,False,False
533,True,True,False,False
534,True,True,True,True
535,True,False,True,False
536,False,True,False,False
537,False,True,True,False
538,True,False,False,False
539,True,True,False,False
540,False,True,True,False
541,True,True,False,False
542,True,True,False,False
543,True,True,False,False
544,False,True,False,False
545,True,True,True,True
546,False,True,True,False
547,True,True,True,True
548,True,True,True,True
549,True,True,False,False
550,True,True,False,False
551,False,True,False,False
552,True,True,True,True
553,True,True,False,False
554,True,True,False,False
555,True,True,True,True
556,True,True,True,True
557,False,False,True,False
558,False,True,False,False
559,False,True,True,False
560,True,True,True,True
561,True,True,True,True
562,True,False,False,False
563,True,True,True,True
564,True,True,True,True
565,False,False,True,False
566,True,True,True,True
567,False,True,False,False
568,False,True,True,False
569,False,True,False,False
570,True,True,False,False
571,False,True,False,False
572,False,True,False,False
573,True,True,False,False
574,False,True,True,False
575,False,False,False,False
576,False,True,False,False
577,True,True,True,True
578,True,True,True,True
579,False,True,False,False
580,True,True,True,True
581,True,True,True,True
582,True,True,True,True
583,True,True,True,True
584,True,True,False,False
585,False,True,True,False
586,True,True,False,False
587,True,True,False,False
588,True,True,False,False
589,False,False,True,False
590,True,True,False,False
591,False,True,True,False
592,True,True,True,True
593,True,True,True,True
594,False,True,False,False
595,True,True,False,False
596,True,True,True,True
597,False,True,True,False
598,True,True,False,False
599,True,True,False,False
600,False,False,True,False
601,True,True,False,False
602,True,True,False,False
603,True,True,True,True
604,True,True,True,True
605,True,True,True,True
606,True,True,False,False
607,True,True,True,True
608,True,True,True,True
609,True,True,True,True
610,True,True,False,False
611,False,True,True,False
612,True,True,False,False
613,False,True,False,False
614,True,True,True,True
615,True,True,True,True
616,True,True,False,False
617,True,True,False,False
618,False,True,False,False
619,False,True,False,False
620,True,True,True,True
621,True,True,False,False
622,True,True,True,True
623,True,True,True,True
624,False,True,True,False
625,True,True,False,False
626,True,True,False,False
627,True,False,False,False
628,False,False,True,False
629,True,False,True,False
630,True,True,False,False
631,True,True,True,True
632,False,True,True,False
633,True,True,True,True
634,True,True,True,True
635,True,True,False,False
636,False,False,False,False
637,True,True,True,True
638,False,True,False,False
639,True,False,False,False
640,False,True,True,False
641,True,True,True,True
642,True,True,True,True
643,False,True,False,False
644,False,True,False,False
645,True,True,True,True
646,True,True,True,True
647,True,True,True,True
648,False,True,False,False
649,True,True,False,False
650,False,True,True,False
651,False,True,True,False
652,False,True,False,False
653,True,False,False,False
654,True,True,False,False
655,True,True,False,False
656,True,True,False,False
657,True,True,True,True
658,False,True,False,False
659,True,True,True,True
660,True,True,True,True
661,True,True,False,False
662,False,False,False,False
663,True,True,True,True
664,False,False,True,False
665,False,True,False,False
666,False,False,True,False
667,True,False,True,False
668,True,False,True,False
669,False,True,False,False
670,True,True,False,False
671,True,True,False,False
672,False,True,False,False
673,False,True,False,False
674,True,True,True,True
675,False,True,True,False
676,True,False,True,False
677,True,True,True,True
678,True,True,False,False
679,True,False,False,False
680,True,True,True,True
681,True,True,True,True
682,False,False,True,False
683,True,True,False,False
684,False,True,False,False
685,True,True,False,False
686,False,True,False,False
687,True,True,False,False
688,False,False,True,False
689,False,True,True,False
690,True,True,False,False
691,False,True,True,False
692,True,True,True,True
693,True,True,True,True
694,True,True,False,False
695,True,True,True,True
696,True,True,False,False
697,True,True,True,True
698,True,True,True,True
699,True,True,True,True
700,True,True,False,False
701,True,False,False,False
702,True,True,False,False
703,False,True,True,False
704,True,True,True,True
705,True,True,False,False
706,True,True,True,True
707,False,False,False,False
708,True,True,False,False
709,False,True,True,False
710,True,True,False,False
711,True,True,False,False
712,True,True,True,True
713,True,True,True,True
714,False,True,True,False
715,True,True,False,False
716,False,True,False,False
717,True,True,True,True
718,False,True,True,False
719,True,True,False,False
720,True,True,True,True
721,True,True,False,False
722,True,True,True,True
723,False,False,True,False
724,False,True,True,False
725,False,True,False,False
726,False,True,True,False
727,True,True,False,False
728,True,True,False,False
729,True,True,True,True
730,True,True,True,True
731,False,False,False,False
732,False,True,False,False
733,True,False,True,False
734,False,True,False,False
735,False,True,True,False
736,True,True,False,False
737,True,False,True,False
738,False,False,True,False
739,True,True,True,True
740,True,True,False,False
741,True,True,True,True
742,True,True,True,True
743,True,True,False,False
744,False,False,True,False
745,False,False,False,False
746,False,False,True,False
747,False,True,False,False
748,False,True,True,False
749,True,False,False,False
750,True,False,True,False
751,True,True,True,True
752,True,False,True,False
753,False,True,True,False
754,True,False,True,False
755,True,True,False,False
756,False,True,False,False
757,True,True,True,True
758,True,True,False,False
759,False,False,True,False
760,False,True,False,False
761,False,True,True,False
762,False,True,True,False
763,True,False,False,False
764,True,True,True,True
765,False,True,False,False
766,False,True,True,False
767,False,True,False,False
768,False,True,True,False
769,False,True,True,False
770,False,True,True,False
771,True,True,True,True
772,True,True,False,False
773,False,True,False,False
774,True,True,True,True
775,True,True,True,True
776,False,True,False,False
777,True,True,True,True
778,False,True,True,False
779,False,True,False,False
780,True,True,True,True
781,False,True,True,False
782,False,False,False,False
783,False,True,False,False
784,True,True,False,False
785,True,True,False,False
786,False,True,True,False
787,True,True,False,False
788,False,True,True,False
789,False,True,False,False
790,True,True,True,True
791,True,True,True,True
792,False,False,True,False
793,True,True,True,True
794,False,True,False,False
795,True,True,False,False
796,True,True,False,False
797,False,True,False,False
798,False,False,True,False
799,False,True,True,False
800,False,True,False,False
801,True,True,False,False
802,True,True,True,True
803,True,True,True,True
804,True,False,False,False
805,True,True,False,False
806,True,True,False,False
807,True,True,True,True
808,True,True,False,False
809,True,True,True,True
810,False,True,True,False
811,True,False,False,False
812,False,True,False,False
813,False,True,True,False
814,True,True,False,False
815,True,True,True,True
816,False,True,False,False
817,True,False,True,False
818,True,True,True,True
819,True,True,False,False
820,False,True,True,False
821,True,True,False,False
822,True,False,True,False
823,True,False,True,False
824,False,False,True,False
825,True,True,True,True
826,True,True,True,True
827,True,True,True,True
828,True,True,True,True
829,True,True,False,False
830,True,True,True,True
831,False,True,True,False
832,True,True,False,False
833,True,True,True,True
834,False,True,True,False
835,False,False,True,False
836,True,False,True,False
837,False,True,False,False
838,False,True,False,False
839,True,False,False,False
840,False,True,False,False
841,False,True,False,False
842,False,True,False,False
843,True,True,False,False
844,True,True,False,False
845,True,True,False,False
846,True,True,False,False
847,True,True,False,False
848,True,True,True,True
849,False,True,False,False
850,True,True,False,False
851,True,True,False,False
852,False,True,True,False
853,True,True,True,True
854,True,False,False,False
855,True,True,True,True
856,False,False,False,False
857,False,False,True,False
858,False,False,False,False
859,False,True,False,False
860,True,True,True,True
861,True,True,False,False
862,True,True,True,True
863,False,True,True,False
864,False,True,False,False
865,True,True,True,True
866,True,True,True,True
867,False,True,True,False
868,True,True,False,False
869,False,True,True,False
870,False,True,False,False
871,True,True,False,False
872,False,True,False,False
873,False,True,True,False
874,False,False,True,False
875,False,True,False,False
876,False,True,False,False
877,False,False,False,False
878,True,True,False,False
879,True,True,False,False
880,True,True,True,True
881,False,False,True,False
882,False,True,False,False
883,False,True,True,False
884,False,True,True,False
885,True,False,True,False
886,False,True,False,False
887,True,True,False,False
888,True,True,False,False
889,True,True,False,False
890,True,True,True,True
891,True,True,False,False
892,False,True,False,False
893,False,True,False,False
894,True,False,True,False
895,False,False,False,False
896,False,True,True,False
897,True,True,True,True
898,True,True,False,False
899,True,False,True,False
900,False,True,True,False
901,False,True,True,False
902,True,True,True,True
903,False,True,False,False
904,True,True,False,False
905,True,True,True,True
906,True,True,True,True
907,True,True,False,False
908,False,True,False,False
909,False,True,False,False
910,True,False,True,False
911,True,True,True,True
912,True,True,True,True
913,True,True,False,False
914,True,False,True,False
915,True,False,True,False
916,True,True,True,True
917,False,True,True,False
918,True,True,True,True
919,True,True,False,False
920,False,True,False,False
921,True,True,True,True
922,False,True,False,False
923,True,True,True,True
924,False,True,True,False
925,True,True,True,True
926,False,True,False,False
927,False,True,False,False
928,False,True,False,False
929,False,True,True,False
930,True,True,True,True
931,False,True,False,False
932,False,True,True,False
933,True,True,True,True
934,True,True,False,False
935,True,True,True,True
936,False,True,True,False
937,False,True,False,False
938,False,True,False,False
939,True,True,False,False
940,False,True,False,False
941,True,True,False,False
942,False,True,False,False
943,True,True,True,True
944,True,True,False,False
945,True,False,False,False
946,False,True,False,False
947,False,False,True,False
948,True,True,True,True
949,False,True,True,False
950,False,True,True,False
951,True,True,True,True
952,False,True,True,False
953,False,False,True,False
954,True,False,False,False
955,True,True,True,True
956,True,True,True,True
957,False,True,True,False
958,True,False,True,False
959,False,True,True,False
960,True,False,True,False
961,False,True,True,False
962,True,True,False,False
963,False,True,True,False
964,False,True,False,False
965,False,False,False,False
966,True,True,False,False
967,False,True,True,False
968,True,True,True,True
969,True,True,False,False
970,False,False,False,False
971,True,True,True,True
972,True,True,True,True
973,True,True,False,False
974,True,True,True,True
975,True,True,True,True
976,True,True,True,True
977,True,False,False,False
978,False,False,True,False
979,False,True,True,False
980,True,True,True,True
981,False,True,False,False
982,True,False,False,False
983,True,True,False,False
984,True,True,False,False
985,False,False,True,False
986,False,True,False,False
987,False,True,True,False
988,False,True,False,False
989,False,True,True,False
990,False,True,False,False
991,True,True,True,True
992,True,True,False,False
993,False,True,True,False
994,True,True,True,True
995,True,True,False,False
996,True,True,False,False
997,False,True,True,False
998,True,True,True,True
999,True,True,False,False
1000,False,True,False,False
1001,True,False,True,False
1002,False,True,False,False
1003,False,True,True,False
1004,True,True,False,False
1005,False,True,True,False
1006,True,True,False,False
1007,True,True,False,False
1008,False,True,False,False
1009,False,True,True,False
1010,False,True,True,False
1011,False,True,False,False
1012,True,True,True,True
1013,False,True,True,False
1014,True,True,False,False
1015,True,True,True,True
1016,False,True,False,False
1017,True,True,True,True
1018,True,True,False,False
1019,True,False,True,False
1020,True,True,False,False
1021,False,True,False,False
1022,True,True,True,True
1023,False,True,True,False
1024,False,True,False,False
1025,True,False,False,False
1026,True,True,False,False
1027,True,True,True,True
1028,True,True,False,False
1029,False,False,True,False
1030,True,True,True,True
1031,False,True,True,False
1032,False,True,True,False
1033,True,True,False,False
1034,True,True,True,True
1035,False,True,False,False
1036,True,True,True,True
1037,False,False,False,False
1038,False,True,False,False
1039,False,False,True,False
1040,False,True,False,False
1041,False,True,False,False
1042,False,True,True,False
1043,False,True,False,False
1044,True,True,True,True
1045,True,True,True,True
1046,True,True,False,False
1047,True,True,False,False
1048,False,True,False,False
1049,False,True,False,False
1050,False,True,False,False
1051,False,True,False,False
1052,True,True,True,True
1053,False,False,False,False
1054,True,True,False,False
1055,False,True,False,False
1056,True,True,True,True
1057,True,True,False,False
1058,False,True,False,False
1059,False,False,False,False
1060,False,True,True,False
1061,True,True,True,True
1062,False,True,True,False
1063,True,False,True,False
1064,True,False,False,False
1065,True,True,True,True
1066,True,True,False,False
1067,False,True,False,False
1068,True,False,False,False
1069,False,True,True,False
1070,True,True,True,True
1071,False,True,True,False
1072,False,False,True,False
1073,False,False,False,False
1074,False,True,True,False
1075,True,True,False,False
1076,True,True,True,True
1077,True,True,True,True
1078,False,False,False,False
1079,True,True,True,True
1080,False,True,False,False
1081,False,True,True,False
1082,True,True,True,True
1083,True,True,True,True
1084,True,True,True,True
1085,False,True,False,False
1086,False,True,True,False
1087,False,True,False,False
1088,True,True,False,False
1089,True,True,False,False
1090,False,True,True,False
1091,False,True,True,False
1092,True,True,False,False
1093,False,True,False,False
1094,True,True,True,True
1095,True,True,False,False
1096,False,True,True,False
1097,True,False,True,False
1098,False,True,False,False
1099,False,True,False,False
1100,True,True,False,False
1101,True,True,True,True
1102,True,True,False,False
1103,False,True,False,False
1104,True,True,True,True
1105,False,True,True,False
1106,True,True,True,True
1107,False,True,False,False
1108,True,True,True,True
1109,True,True,False,False
1110,False,True,False,False
1111,True,False,True,False
1112,False,True,False,False
1113,True,True,False,False
1114,True,True,False,False
1115,True,False,True,False
1116,True,False,True,False
1117,True,True,False,False
1118,True,True,False,False
1119,True,True,False,False
1120,False,True,False,False
1121,False,True,False,False
1122,False,True,False,False
1123,True,True,True,True
1124,False,True,True,False
1125,False,True,True,False
1126,True,True,False,False
1127,True,True,False,False
1128,True,True,False,False
1129,True,True,False,False
1130,False,False,True,False
1131,False,False,False,False
1132,True,True,False,False
1133,True,True,False,False
1134,True,True,False,False
1135,True,False,True,False
1136,True,False,True,False
1137,True,True,False,False
